filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
src/decompiler/unionresolve.hh,21,0,0.0,6,0,0.0,11,0,0.0
src/decompiler/userop.cc,301,50,0.166,458,37,0.081,24,5,0.20800000000000002
src/decompiler/userop.hh,41,16,0.39,12,4,0.33299999999999996,30,10,0.33299999999999996
src/decompiler/variable.cc,633,393,0.621,724,291,0.402,49,38,0.7759999999999999
src/decompiler/variable.hh,62,46,0.742,6,6,1.0,52,36,0.6920000000000001
src/decompiler/varmap.cc,821,530,0.6459999999999999,1103,402,0.364,48,40,0.833
src/decompiler/varmap.hh,33,15,0.455,2,2,1.0,29,14,0.483
src/decompiler/varnode.cc,951,506,0.532,948,333,0.35100000000000003,86,63,0.733
src/decompiler/varnode.hh,120,97,0.8079999999999999,2,2,1.0,116,94,0.81
src/decompiler/xml.cc,613,338,0.551,555,227,0.409,40,36,0.9
src/decompiler/xml.hh,68,41,0.603,22,11,0.5,43,23,0.535
