# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
25, 265, , 60782
25, 447, , 60968
25, 514, , 61072
25, 650, , 67142
25, 323, , 60817
25, 1734, , 70519
25, 618, , 61227
25, 285, , 68441
25, 256, , 67145
25, 1068, , 61109
25, 356, , 60885
25, 451, , 61074
25, 264, , 69761
144298
25, 830, , 60988
25, 512, , 60972
26, 295, , 68748
26, 857, , 61107
26, 480, , 67145
26, 276, , 62484
26, 557, , 67260
26, 289, , 66053
26, 1475, , 62119
26, 341, , 61113
92097
26, 259, , 64783
26, 267, , 64339
26, 283, , 67469
26, 290, , 62803
26, 268, , 62550
26, 378, , 61005
26, 423, , 60955
26, 1199, , 67168
26, 1503, , 61223
26, 294, , 61010
26, 259, , 70212
73768
26, 896, , 61132
27, 1128, , 61654
27, 468, , 60980
27, 1095, , 60980
27, 604, , 60991
27, 586, , 61044
27, 387, , 61129
27, 378, , 60922
27, 835, , 70767
27, 666, , 61200
27, 716, , 61141
27, 649, , 61311
27, 261, , 65545
27, 464, , 61089
27, 512, , 61548
27, 512, , 64076
27, 293, , 65240
27, 499, , 61419
27, 1087, , 61339
27, 1468, , 61219
27, 1571, , 61195
28, 574, , 61293
28, 606, , 61173
28, 512, , 61091
28, 815, , 61202
28, 443, , 60977
28, 851, , 61188
28, 315, , 60836
28, 1166, , 61248
28, 512, , 60987
28, 263, , 64268
28, 709, , 67251
28, 323, , 60891
28, 1242, , 61350
28, 558, , 61183
28, 335, , 61020
28, 977, , 61272
28, 595, , 61018
28, 280, , 63864
28, 465, , 61143
28, 680, , 60994
29, 277, , 69545
29, 594, , 61144
29, 451, , 61070
29, 394, , 61044
29, 595, , 61418
29, 339, , 61028
29, 301, , 68629
29, 275, , 66324
29, 400, , 61038
29, 270, , 65601
29, 807, , 61202
29, 339, , 60921
29, 512, , 60993
29, 936, , 61205
29, 1092, , 61275
29, 433, , 61252
29, 399, , 61014
29, 512, , 61097
29, 859, , 61240
29, 298, , 60806
30, 256, , 63853
30, 283, , 66487
30, 777, , 60990
30, 1010, , 61051
30, 261, , 60833
114891
30, 502, , 61123
30, 280, , 63368
30, 319, , 61103
30, 505, , 60981
30, 290, , 65578
30, 281, , 64351
30, 351, , 60956
30, 277, , 62921
30, 271, , 62785
30, 351, , 60935
30, 1108, , 61274
30, 508, , 61361
30, 332, , 60942
30, 360, , 64072
97363
30, 913, , 61067
31, 393, , 60975
31, 609, , 61142
31, 325, , 60931
31, 512, , 60997
31, 504, , 61402
31, 499, , 61157
31, 1353, , 67412
31, 512, , 61098
31, 512, , 64071
31, 272, , 62711
31, 310, , 60920
31, 318, , 60897
31, 277, , 66516
31, 1151, , 61697
31, 896, , 61568
31, 260, , 60784
31, 512, , 64170
31, 901, , 61550
31, 584, , 61168
31, 382, , 61148
32, 263, , 67853
32, 1543, , 61288
32, 670, , 61518
32, 1139, , 61034
32, 512, , 60975
32, 324, , 60897
32, 289, , 68303
32, 1045, , 61232
32, 288, , 67341
32, 269, , 64379
32, 263, , 66489
32, 990, , 61032
32, 286, , 65580
32, 404, , 61186
32, 281, , 66110
32, 512, , 61427
32, 431, , 61069
32, 986, , 61057
32, 512, , 61247
32, 358, , 61016
33, 283, , 65899
33, 628, , 67164
33, 278, , 70794
33, 1091, , 61057
33, 261, , 68316
33, 427, , 61073
33, 639, , 61179
33, 343, , 60972
33, 536, , 64221
33, 518, , 61355
33, 622, , 64080
33, 851, , 61151
33, 647, , 70246
33, 481, , 61480
33, 292, , 68012
33, 566, , 61429
33, 325, , 60842
33, 512, , 61115
33, 506, , 61017
33, 512, , 61107
34, 286, , 64574
34, 356, , 60932
34, 269, , 65145
34, 445, , 61077
34, 1081, , 61229
34, 1437, , 61210
34, 727, , 61180
34, 1282, , 67237
34, 1437, , 61115
34, 352, , 60880
34, 1193, , 64086
34, 279, , 67622
34, 300, , 60946
34, 390, , 61033
34, 291, , 6638
34, 588, , 61002
34, 310, , 60869
34, 1633, , 61261
34, 512, , 60984
34, 279, , 64199
35, 1058, , 60993
35, 260, , 63079
35, 578, , 70375
35, 387, , 61039
35, 263, , 60897
123023
35, 810, , 60982
35, 263, , 69875
35, 512, , 61313
35, 300, , 60876
96658
35, 261, , 71068
35, 393, , 61059
35, 653, , 61016
35, 669, , 61025
35, 874, , 61002
35, 301, , 61024
35, 922, , 61146
35, 726, , 64083
35, 265, , 9804
35, 276, , 2383
35, 512, , 61432
36, 265, , 4685
36, 732, , 61177
36, 425, , 60964
36, 625, , 61116
36, 749, , 61001
36, 345, , 61007
36, 261, , 3666
36, 299, , 3506
36, 262, , 60777
36, 683, , 60969
36, 608, , 64257
36, 571, , 61144
36, 367, , 60972
36, 261, , 63844
36, 734, , 61206
36, 256, , 30552
36, 262, , 65518
36, 289, , 61000
36, 292, , 61015
36, 512, , 61121
37, 288, , 62906
37, 259, , 4887
37, 446, , 61414
37, 408, , 61094
37, 665, , 61206
37, 261, , 60802
37, 424, , 61051
37, 378, , 60939
37, 492, , 64113
37, 925, , 64085
37, 280, , 3545
37, 334, , 60874
97621
37, 263, , 3504
37, 394, , 61041
37, 268, , 62810
37, 420, , 60988
37, 512, , 61389
37, 305, , 60915
37, 287, , 60889
37, 512, , 60982
38, 262, , 60865
102009
38, 1622, , 61239
38, 263, , 5450
38, 321, , 60966
38, 512, , 60977
38, 512, , 61594
38, 289, , 66054
38, 342, , 60948
38, 1000, , 61070
38, 285, , 65975
38, 478, , 61094
38, 297, , 60847
38, 814, , 61198
38, 375, , 61011
38, 277, , 4523
38, 428, , 61108
38, 305, , 60907
38, 269, , 64998
105940
38, 512, , 67691
38, 1623, , 61568
39, 454, , 61068
39, 281, , 6450
39, 396, , 61097
39, 1261, , 60994
39, 512, , 61001
39, 512, , 61157
39, 447, , 61132
39, 773, , 61228
39, 276, , 64404
39, 261, , 3560
39, 512, , 61130
39, 421, , 67535
39, 1012, , 61237
39, 271, , 60798
39, 1135, , 61603
39, 438, , 60988
39, 283, , 6447
39, 368, , 64191
39, 332, , 67131
39, 512, , 61155
40, 467, , 60987
40, 461, , 61113
40, 373, , 61269
117543
40, 292, , 4541
40, 388, , 61228
40, 745, , 61193
40, 297, , 60882
40, 508, , 67136
40, 512, , 61097
40, 262, , 60886
40, 1169, , 64078
40, 261, , 70643
40, 260, , 60839
40, 338, , 60878
40, 414, , 61066
40, 512, , 61008
40, 412, , 61294
40, 459, , 61075
40, 674, , 61007
40, 397, , 60971
41, 959, , 61001
41, 359, , 61137
41, 284, , 63868
41, 482, , 61004
41, 301, , 60929
41, 609, , 61425
41, 348, , 60881
41, 330, , 60873
41, 491, , 60959
41, 294, , 9207
41, 700, , 61204
41, 275, , 3470
41, 349, , 60886
41, 357, , 61015
41, 377, , 60997
116389
41, 1668, , 61354
41, 521, , 61423
41, 284, , 64296
41, 992, , 61286
41, 277, , 7368
42, 408, , 61193
42, 1271, , 64349
42, 379, , 61065
42, 512, , 61334
42, 893, , 61543
42, 719, , 61049
42, 1562, , 61196
42, 491, , 61107
42, 421, , 61033
42, 399, , 61380
42, 260, , 2397
42, 795, , 61104
42, 281, , 9014
42, 296, , 3429
42, 796, , 61634
42, 499, , 61033
42, 284, , 63060
42, 367, , 60979
42, 300, , 63480
42, 279, , 62774
43, 353, , 60971
43, 434, , 60955
43, 264, , 4629
43, 761, , 67171
43, 322, , 60970
43, 347, , 60907
120887
43, 357, , 60950
43, 388, , 61072
43, 266, , 62174
43, 1017, , 61220
43, 528, , 61130
43, 263, , 4533
43, 279, , 62348
43, 395, , 60976
43, 366, , 60982
43, 1514, , 64316
43, 897, , 61248
43, 743, , 61152
43, 428, , 61243
43, 374, , 60972
44, 280, , 3419
44, 462, , 61108
44, 266, , 60796
44, 455, , 61002
44, 312, , 60946
44, 467, , 60975
