# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
25, 1125, , 70538
25, 827, , 67179
25, 825, , 67185
25, 1224, , 67287
25, 293, , 69484
25, 1376, , 64154
25, 282, , 71600
25, 1578, , 70842
25, 366, , 67378
25, 619, , 67416
25, 293, , 64276
25, 305, , 72676
25, 512, , 67111
26, 260, , 66460
26, 298, , 64179
26, 1151, , 67392
26, 300, , 70265
26, 399, , 70517
26, 825, , 67170
26, 597, , 67132
26, 1330, , 67239
26, 262, , 64068
26, 512, , 67132
100625
26, 295, , 64097
26, 339, , 67157
26, 419, , 70177
26, 291, , 64178
26, 1077, , 67290
26, 454, , 67466
26, 261, , 61975
26, 512, , 67141
26, 1572, , 70471
26, 471, , 67409
27, 459, , 70481
27, 626, , 67126
27, 317, , 61004
27, 594, , 70727
27, 659, , 70190
27, 661, , 67137
27, 344, , 67285
27, 1283, , 67212
27, 318, , 64196
27, 1341, , 67132
27, 290, , 67129
27, 512, , 67579
27, 964, , 64356
27, 869, , 64481
27, 1091, , 67419
27, 807, , 67811
27, 1345, , 67278
27, 1321, , 67177
27, 363, , 64278
27, 339, , 70489
28, 427, , 70187
28, 899, , 64507
28, 809, , 70201
28, 442, , 67099
28, 556, , 67135
28, 652, , 61048
28, 384, , 60912
28, 1259, , 67140
28, 628, , 64058
28, 627, , 67624
28, 865, , 67486
28, 771, , 64774
28, 261, , 66396
28, 1142, , 67691
28, 311, , 73899
28, 660, , 64097
28, 1290, , 70267
28, 338, , 70464
28, 723, , 61044
28, 292, , 73521
29, 512, , 61438
29, 689, , 67161
29, 1024, , 70260
29, 907, , 67149
29, 469, , 64054
29, 262, , 60767
29, 819, , 64120
29, 344, , 52881
29, 259, , 72874
29, 1179, , 67172
29, 352, , 70428
29, 303, , 69837
29, 788, , 67124
29, 293, , 64122
29, 939, , 64258
29, 615, , 70716
29, 318, , 69963
29, 865, , 61137
29, 284, , 58196
29, 320, , 64181
30, 342, , 67173
30, 908, , 70282
30, 1339, , 67221
30, 350, , 67030
30, 957, , 67412
30, 290, , 64063
30, 747, , 64634
30, 803, , 71113
30, 865, , 67324
30, 300, , 64290
30, 909, , 70242
30, 347, , 60921
30, 933, , 64152
30, 292, , 66943
30, 317, , 64189
30, 662, , 64169
30, 1121, , 70274
30, 260, , 61481
30, 438, , 67434
30, 490, , 67324
31, 475, , 67556
31, 374, , 61222
31, 408, , 67055
31, 788, , 67224
31, 1112, , 67174
31, 286, , 63878
31, 291, , 63873
31, 259, , 49578
31, 363, , 70094
31, 1189, , 67170
31, 1462, , 70216
31, 291, , 61018
31, 432, , 70519
31, 668, , 70228
31, 267, , 64185
31, 261, , 63835
31, 267, , 72398
31, 510, , 64715
31, 386, , 67076
31, 298, , 69194
32, 263, , 68425
32, 440, , 67093
32, 295, , 65920
32, 859, , 70225
32, 271, , 66939
123390
32, 278, , 41370
32, 291, , 64157
32, 263, , 60769
32, 512, , 67598
32, 813, , 67162
32, 371, , 72938
32, 288, , 50494
32, 725, , 64088
32, 349, , 67277
32, 499, , 70215
32, 373, , 63993
32, 512, , 67138
32, 261, , 79009
32, 259, , 66488
32, 1121, , 64086
33, 773, , 70995
33, 626, , 64762
33, 286, , 59816
33, 1305, , 70252
33, 512, , 67131
33, 453, , 70191
112651
33, 764, , 70643
33, 430, , 64299
33, 258, , 64112
33, 458, , 67460
33, 969, , 64074
33, 449, , 67118
33, 373, , 67051
33, 366, , 67287
33, 412, , 70189
33, 775, , 67133
33, 564, , 67144
33, 406, , 70413
33, 371, , 67325
33, 838, , 67305
34, 1048, , 70879
34, 811, , 67143
34, 307, , 64163
102306
34, 510, , 67705
34, 301, , 67220
34, 370, , 70161
34, 341, , 67095
34, 491, , 70217
34, 313, , 64642
34, 486, , 70632
34, 512, , 67180
34, 440, , 67381
34, 398, , 67110
34, 375, , 64012
34, 429, , 64044
34, 351, , 67036
126710
34, 259, , 65616
34, 971, , 70282
34, 323, , 63931
34, 465, , 67471
35, 512, , 64069
35, 386, , 64377
35, 356, , 61105
35, 512, , 67118
35, 772, , 70277
35, 331, , 60934
116158
35, 754, , 70663
35, 302, , 70269
35, 839, , 67715
35, 508, , 67255
35, 379, , 67258
35, 1356, , 64204
35, 890, , 67182
35, 769, , 70434
35, 311, , 67248
35, 512, , 61004
35, 719, , 67169
35, 261, , 67132
35, 259, , 55642
35, 258, , 63863
36, 261, , 64981
36, 370, , 63979
36, 261, , 71682
36, 1078, , 67263
36, 692, , 67507
36, 370, , 70175
36, 341, , 10782
42646
36, 787, , 64102
36, 466, , 67484
103036
36, 304, , 66948
36, 512, , 64114
36, 407, , 67090
36, 357, , 67163
36, 1098, , 67152
36, 332, , 64093
36, 273, , 67129
36, 285, , 65136
36, 358, , 70117
36, 351, , 60896
36, 512, , 67093
37, 382, , 64353
37, 258, , 63922
37, 712, , 67165
37, 341, , 67223
37, 361, , 60933
37, 475, , 67492
37, 360, , 67320
37, 263, , 71410
37, 1297, , 67322
37, 326, , 10031
37, 512, , 70204
37, 1069, , 71014
37, 899, , 64218
37, 261, , 63404
37, 1234, , 67170
37, 348, , 67015
37, 467, , 70484
37, 363, , 63973
37, 461, , 64055
37, 313, , 67324
38, 464, , 61057
38, 512, , 67343
38, 372, , 64150
38, 282, , 63874
38, 512, , 67579
38, 464, , 70589
38, 283, , 50154
38, 259, , 65120
38, 376, , 70596
38, 259, , 64911
38, 290, , 67250
38, 845, , 67246
38, 278, , 58871
38, 424, , 60965
38, 279, , 72644
121807
38, 287, , 64107
38, 336, , 64144
38, 450, , 70173
38, 398, , 67112
100994
38, 260, , 5580
39, 302, , 67241
39, 257, , 5035
39, 444, , 67096
39, 775, , 67324
39, 401, , 67357
39, 345, , 63987
39, 384, , 67060
39, 1091, , 67194
39, 940, , 70186
39, 369, , 4550
40118
39, 1142, , 70328
39, 512, , 64105
39, 362, , 67322
39, 636, , 67337
39, 425, , 67109
39, 668, , 67598
39, 512, , 64052
39, 295, , 63163
39, 435, , 70175
39, 851, , 64125
40, 281, , 63133
40, 294, , 42732
40, 512, , 70462
40, 339, , 67307
40, 450, , 64388
40, 327, , 3469
40, 512, , 67142
102803
40, 512, , 67128
40, 672, , 70451
40, 351, , 63974
40, 259, , 2447
40, 344, , 70143
40, 469, , 67119
40, 512, , 67157
40, 512, , 67573
40, 301, , 10542
40, 544, , 70208
40, 451, , 64395
40, 512, , 64051
40, 316, , 67270
41, 595, , 67325
41, 946, , 67162
41, 1240, , 67299
41, 855, , 61016
41, 389, , 70190
41, 728, , 64098
41, 370, , 61074
41, 1210, , 67767
41, 262, , 65249
41, 304, , 4485
41, 310, , 67027
41, 275, , 54272
41, 2948, , 64119
41, 262, , 67638
41, 512, , 67142
41, 338, , 70141
41, 308, , 67180
41, 374, , 67070
41, 856, , 70244
41, 259, , 2365
42, 260, , 63508
42, 318, , 67181
42, 512, , 67121
42, 314, , 4724
42, 259, , 5893
42, 640, , 64151
42, 365, , 64169
42, 824, , 70370
42, 334, , 60907
42, 332, , 60879
42, 840, , 64066
42, 373, , 64017
42, 263, , 63856
42, 629, , 64487
42, 352, , 64203
42, 300, , 63935
42, 430, , 67114
42, 909, , 64230
42, 1258, , 70185
42, 401, , 67112
43, 458, , 64063
43, 511, , 70196
43, 260, , 7426
43, 302, , 4481
43, 892, , 70265
43, 296, , 10127
43, 257, , 38573
43, 951, , 67190
43, 280, , 67112
43, 292, , 66005
43, 398, , 67095
43, 308, , 10419
43, 442, , 67371
43, 298, , 67038
43, 298, , 67162
43, 1174, , 70932
43, 260, , 63537
43, 286, , 7937
43, 327, , 3822
43, 858, , 70238
44, 312, , 4492
44, 512, , 64125
44, 563, , 64632
44, 270, , 74639
44, 456, , 64050
44, 512, , 67113
44, 257, , 66461
44, 258, , 5382
44, 537, , 70318
44, 615, , 67656
44, 485, , 64573
44, 512, , 64064
44, 512, , 67104
44, 458, , 70171
44, 262, , 65304
44, 287, , 63893
44, 260, , 60998
44, 1335, , 67835
44, 279, , 62789
44, 564, , 67578
45, 259, , 5538
45, 445, , 67122
45, 288, , 61059
45, 258, , 4395
45, 259, , 4482
45, 327, , 63967
45, 1710, , 70291
45, 294, , 10840
45, 361, , 64009
95978
45, 260, , 63221
45, 289, , 8694
45, 512, , 67187
45, 284, , 39374
45, 391, , 64037
45, 390, , 67147
45, 512, , 64358
45, 446, , 60972
45, 259, , 5544
45, 297, , 7810
45, 283, 64102, 92572
46, 512, , 64273
46, 453, , 67130
46, 345, , 64986
46, 328, , 70140
46, 292, , 65598
46, 260, , 7092
39758
46, 733, , 67256
46, 294, , 63915
46, 260, , 63707
46, 621, , 67131
46, 404, , 67390
46, 494, , 67114
46, 628, , 70214
46, 615, , 70551
46, 615, , 64664
46, 509, , 64067
46, 286, , 63370
46, 795, , 67908
46, 401, , 64497
46, 304, , 64140
47, 392, , 70195
47, 376, , 70525
47, 736, , 67401
47, 319, , 5540
39698
47, 1440, , 64132
47, 1233, , 70284
47, 658, , 70241
47, 275, , 8929
47, 394, , 64070
47, 260, , 59334
47, 438, , 61252
47, 1282, , 67205
47, 1455, , 67197
47, 512, , 67534
47, 674, , 67156
47, 1396, , 67217
47, 512, , 70786
47, 288, , 63922
47, 260, , 3451
47, 385, , 64398
48, 315, , 64002
48, 972, , 64192
48, 410, , 64381
48, 301, , 67245
141139
48, 580, , 61007
48, 257, , 5050
48, 755, , 61029
48, 512, , 67537
48, 259, , 6751
48, 1133, , 67175
48, 413, , 67134
48, 635, , 67169
48, 388, , 10735
